fileNumber,time,latitude,longitude,pres,temp,psal,doxy,turbidity,chla,nitrate,model_temp,model_salt
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,125.96,15.663,35.627,,,,,15.831778,35.630047
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,127.96,15.616,35.622,,,,,15.831778,35.630047
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,130.0,15.592,35.618,,,,,15.831778,35.630047
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,132.0,15.586,35.617,,,,,15.831778,35.630047
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,134.04,15.547,35.614,,,,,15.831778,35.630047
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,136.0,15.458,35.606,,,,,15.831778,35.630047
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,137.96,15.358,35.591,,,,,15.831778,35.630047
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,140.0,15.281,35.581,,,,,15.831778,35.630047
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,142.04,15.225,35.572,,,,,15.831778,35.630047
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,144.04,15.214,35.569,,,,,15.079559,35.54874
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,146.08,15.131,35.563,,,,,15.079559,35.54874
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,148.0,15.1,35.554,,,,,15.079559,35.54874
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,149.92,15.06,35.55,,,,,15.079559,35.54874
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,152.0,15.038,35.547,,,,,15.079559,35.54874
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,154.0,15.015,35.544,,,,,15.079559,35.54874
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,155.96,14.959,35.538,,,,,15.079559,35.54874
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,158.0,14.877,35.528,,,,,15.079559,35.54874
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,159.96,14.799,35.514,,,,,15.079559,35.54874
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,161.96,14.735,35.509,,,,,15.079559,35.54874
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,163.96,14.622,35.496,,,,,15.079559,35.54874
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,166.0,14.545,35.486,,,,,15.079559,35.54874
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,168.08,14.478,35.476,,,,,15.079559,35.54874
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,169.84,14.459,35.477,,,,,15.079559,35.54874
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,1.08,23.278,35.907,,,,,22.854773,35.88722
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,2.0,23.28,35.906,,,,,22.854773,35.88722
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,3.0,23.281,35.905,,,,,22.749516,35.88783
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,4.04,23.276,35.905,,,,,22.635101,35.889233
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,5.04,23.257,35.902,,,,,22.49748,35.8919
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,6.04,23.227,35.904,,,,,22.340393,35.895725
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,7.04,23.193,35.895,,,,,22.340393,35.895725
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,8.04,23.162,35.895,,,,,22.170567,35.8996
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,9.04,23.126,35.888,,,,,21.988056,35.902565
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,10.24,22.912,35.894,,,,,21.988056,35.902565
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,11.96,21.665,35.984,,,,,21.804102,35.904373
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,13.96,20.923,35.996,,,,,21.612392,35.906178
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,16.04,20.291,35.967,,,,,21.40824,35.91099
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,18.04,20.108,35.922,,,,,21.204435,35.91925
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,20.0,19.868,35.898,,,,,21.204435,35.91925
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,22.0,19.568,35.892,,,,,20.892609,35.931908
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,24.0,19.328,35.884,,,,,20.532118,35.95176
